Company Name,MMYY,Research & development expenses,MMYY,"Current assets (incl. short term investments, loans & advances)",Current liabilities,Return on total assets,Return on net worth,Return on capital employed,Current ratio (times),Quick ratio (times),Debt to equity ratio (times),Closing Price ,Market Capitalisation,Total Returns,EPS ,Size
Gufic Biosciences Ltd.,Mar-14,2.6,Mar-17,2049.3,1752.6,7.06,33.29,13.36,1.17,0.56,1.47,66.35,5132.17,2,1.25,8.543283851
Gufic Biosciences Ltd.,Mar-15,2.6,Mar-18,2371.2,1909.6,7.59,31.33,13.21,1.19,0.62,1.3,108.25,8373.14,-3.39,1.96,9.032784242
Gufic Biosciences Ltd.,Mar-16,15.3,Mar-19,2371.2,1909.6,7.59,31.33,13.21,1.19,0.62,1.3,76.05,5918.97,-3.98,2.21,8.685917726
Hester Biosciences Ltd.,Mar-10,6.9,Mar-13,533.1,379.2,9.83,16.66,11.77,1.26,0.35,0.47,124,1054.84,3.77,8.97,6.961144376
Hester Biosciences Ltd.,Mar-11,11.3,Mar-14,527.7,309.2,8.35,14.04,9.59,1.49,0.62,0.46,88.75,754.98,0.85,14.08,6.626691259
Hester Biosciences Ltd.,Mar-12,5.9,Mar-15,527,348,12.61,20.45,14.4,1.78,0.83,0.39,468.2,3982.88,8.18,13.22,8.289760455
Hester Biosciences Ltd.,Mar-13,21.2,Mar-16,748.2,339.8,14.56,22.42,16.59,2.19,1.12,0.32,499.4,4248.33,2.11,22.18,8.354281244
Hester Biosciences Ltd.,Mar-14,32,Mar-17,891.3,424.2,14.96,22.11,16.93,2.02,1.04,0.29,763.05,6491.16,0.52,29.31,8.778196530
Hester Biosciences Ltd.,Mar-15,27.2,Mar-18,1004.2,393,19.39,26.97,21.6,2.4,1.02,0.21,1603.9,13644.16,0.74,33.67,9.521066870
Hester Biosciences Ltd.,Mar-16,28.3,Mar-19,1004.2,393,19.39,26.97,21.6,2.4,1.02,0.21,1545.3,13145.66,-2.18,46.53,9.483846945
Hikal Ltd.,Mar-10,96.2,Mar-13,4968.3,4468.3,5.6,17.31,6.87,0.99,0.32,1.37,400.45,6583.44,2.94,18.93,8.792312684
Hikal Ltd.,Mar-11,128.3,Mar-14,5183.2,4996.5,3.4,9.81,4.22,0.94,0.34,1.28,470.45,7734.25,-0.52,39.08,8.953413796
Hikal Ltd.,Mar-12,299.6,Mar-15,5008,5178,3.41,9.32,4.26,1.14,0.39,1.1,138.8,11409.43,4.2,4.93,9.342195485
Hikal Ltd.,Mar-13,299.6,Mar-16,6126.1,4761.4,5.6,14.1,6.93,1.21,0.63,0.99,117.2,9633.9,-2.09,5.03,9.173043407
Hikal Ltd.,Mar-14,336.8,Mar-17,7515,6216.1,4.89,11.98,6.09,1.1,0.59,0.95,212.75,17488.16,-1.41,9.13,9.769279360
Hikal Ltd.,Mar-15,340,Mar-18,8900.7,6626.2,5.95,14.46,7.58,1.26,0.65,0.87,205.45,16888.09,-0.41,10.37,9.734363919
